id,wave,cluster,archetype,funnel,primary_keyword,secondary_keywords,url,title,category,tags,tools,target_words,status
SZ-01,1,sizes,pillar,TOFU,social media image sizes,social media dimensions; image size guide,/blog/social-media-image-sizes,Social Media Image Sizes: One Reference for Everything,design,image-sizes; safe-zones; guide,social-image-resizer; safe-zone-guide; aspect-ratio-calculator,1200,planned
SZ-02,1,sizes,explainer,TOFU,instagram image size,instagram post size; instagram reel dimensions,/blog/instagram-image-sizes,Instagram Image Size for Every Placement,design,instagram; image-sizes; explainer,social-image-resizer; reels-cover-cropper; story-templates-sizer,800,planned
SZ-03,1,sizes,explainer,TOFU,youtube thumbnail size,youtube thumbnail dimensions; thumbnail safe area,/blog/youtube-thumbnail-size,"YouTube Thumbnail Size, and the Part Nobody Sees",design,youtube; thumbnails; image-sizes; explainer,social-image-resizer; safe-zone-guide; youtube-thumbnail-downloader,800,planned
SZ-04,1,sizes,howto,TOFU,download youtube thumbnail,youtube thumbnail downloader; get youtube thumbnail image,/blog/download-youtube-thumbnail,How to Download a YouTube Thumbnail,design,youtube; thumbnails; how-to,youtube-thumbnail-downloader; youtube-image-downloader,800,planned
SZ-05,1,sizes,explainer,TOFU,tiktok video size,tiktok dimensions; tiktok safe zone,/blog/tiktok-video-size,TikTok Video Size and the Safe Zone That Eats Your Text,design,tiktok; image-sizes; safe-zones; explainer,safe-zone-guide; social-image-resizer,800,planned
SZ-06,1,sizes,explainer,TOFU,twitter image size,x image dimensions; twitter card image size,/blog/twitter-image-size,"Twitter Image Sizes for X, and How the Card Crops Them",design,x; image-sizes; link-previews; explainer,social-image-resizer; link-preview-debugger,800,planned
SZ-07,1,sizes,explainer,TOFU,linkedin image size,linkedin post image dimensions; linkedin carousel size,/blog/linkedin-image-sizes,LinkedIn Image and Document Sizes,design,linkedin; image-sizes; explainer,social-image-resizer; carousel-splitter,800,planned
SZ-08,1,sizes,explainer,TOFU,facebook image size,facebook post dimensions; facebook cover photo size,/blog/facebook-image-sizes,Facebook Image Sizes That Survive the Feed,design,facebook; image-sizes; explainer,social-image-resizer; facebook-post-preview,800,planned
YT-01,1,yt-seo,pillar,TOFU,youtube seo,youtube seo tips; how to rank youtube videos,/blog/youtube-seo,YouTube SEO: How Videos Actually Get Found,seo,youtube; youtube-seo; metadata; guide,youtube-search-suggestions; youtube-tag-extractor; youtube-hashtag-generator; social-media-character-counter,1200,planned
YT-02,1,yt-seo,howto,TOFU,youtube video tags,how to see tags on youtube; youtube tag viewer,/blog/how-to-see-tags-on-a-youtube-video,How to See the Tags on Any YouTube Video,seo,youtube; metadata; how-to,youtube-tag-extractor; youtube-metadata-viewer,800,planned
YT-03,1,yt-seo,explainer,TOFU,youtube title length,youtube title character limit; youtube title truncation,/blog/youtube-title-length,YouTube Title Length: Where Your Title Gets Cut Off,content,youtube; titles; explainer,social-media-character-counter; headline-analyzer,800,planned
YT-04,1,yt-seo,howto,MOFU,youtube keyword research,youtube keyword tool free; find youtube keywords,/blog/youtube-keyword-research,Free YouTube Keyword Research Using Autocomplete,seo,youtube; youtube-seo; how-to,youtube-search-suggestions; youtube-hashtag-generator,950,planned
YT-05,1,yt-seo,templates,MOFU,youtube description template,youtube description ideas; what to put in youtube description,/blog/youtube-description-template,A YouTube Description Template That Earns Its Space,content,youtube; metadata; templates,youtube-channel-description-generator; youtube-timestamp-link-builder; utm-link-builder,950,planned
YT-06,1,yt-seo,explainer,TOFU,youtube hashtags,how many hashtags youtube; youtube hashtag limit,/blog/youtube-hashtags,How Many Hashtags to Use on YouTube (and Where),seo,youtube; hashtags; explainer,youtube-hashtag-generator,800,planned
YT-07,1,yt-seo,howto,TOFU,youtube timestamp link,youtube chapters; link to a time in youtube,/blog/youtube-timestamp-links,How to Make a YouTube Timestamp Link (and Add Chapters),seo,youtube; metadata; how-to,youtube-timestamp-link-builder,800,planned
YT-08,1,yt-seo,howto,TOFU,youtube channel id,find channel id; youtube channel id finder,/blog/find-youtube-channel-id,How to Find a YouTube Channel ID,seo,youtube; metadata; how-to,youtube-channel-id-finder; youtube-rss-feed-generator,800,planned
YT-09,1,yt-seo,troubleshooting,TOFU,youtube video not showing in search,youtube shadowban; video not appearing youtube,/blog/youtube-video-not-showing-in-search,YouTube Video Not Showing in Search: 5 Settings,growth,youtube; reach-issues; troubleshooting,youtube-shadowban-detector; youtube-metadata-viewer,950,planned
YT-10,1,yt-seo,explainer,TOFU,youtube video metadata,youtube metadata viewer; youtube video data,/blog/youtube-video-metadata,YouTube Video Metadata: Every Field a Video Declares,seo,youtube; metadata; explainer,youtube-metadata-viewer; youtube-tag-extractor,800,planned
YT-11,1,yt-seo,howto,TOFU,youtube embed code,embed youtube video responsive; youtube nocookie embed,/blog/youtube-embed-code,YouTube Embed Code: Responsive and Privacy-Friendly,seo,youtube; embeds; how-to,youtube-embed-code-generator,800,planned
HT-01,2,hashtags,pillar,TOFU,how to use hashtags,hashtag strategy; hashtags 2026,/blog/how-to-use-hashtags,How to Use Hashtags on Each Network (They Are Not the Same),seo,hashtags; guide,hashtag-generator; youtube-hashtag-generator,1200,planned
HT-02,2,hashtags,explainer,TOFU,instagram hashtags,how many hashtags on instagram; instagram hashtag limit,/blog/instagram-hashtags,"How Many Instagram Hashtags, and Where to Put Them",seo,instagram; hashtags; explainer,hashtag-generator,800,planned
HT-03,2,hashtags,explainer,TOFU,tiktok hashtags,best tiktok hashtags; how many hashtags tiktok,/blog/tiktok-hashtags,TikTok Hashtags: Volume Is Not the Point,seo,tiktok; hashtags; explainer,hashtag-generator,800,planned
SZ-09,2,sizes,explainer,TOFU,pinterest pin size,pin dimensions; pinterest image size,/blog/pinterest-pin-size,"Pinterest Pin Size: 2:3, and When to Break It",design,pinterest; image-sizes; explainer,pin-image-sizer; pinterest-pin-preview,800,planned
SZ-10,2,sizes,howto,TOFU,compress image for instagram,reduce image size for social; image compressor,/blog/compress-image-for-instagram,How to Compress an Image for Instagram Without Damage,design,image-optimization; how-to,image-compressor; image-format-converter,800,planned
SZ-11,2,sizes,comparison,TOFU,webp vs jpeg,best image format for web; png or jpg,/blog/webp-vs-jpeg-vs-png,WebP vs JPEG vs PNG vs AVIF for Social and Web,design,image-optimization; comparison,image-format-converter; image-compressor,950,planned
SZ-12,2,sizes,explainer,TOFU,aspect ratio,9:16 aspect ratio; aspect ratio calculator,/blog/aspect-ratios-explained,"Aspect Ratio for Creators: 16:9, 9:16, 4:5 and 1:1",design,image-sizes; explainer,aspect-ratio-calculator; social-image-resizer,800,planned
SZ-13,2,sizes,explainer,TOFU,safe zone social media,tiktok safe zone; instagram story safe area,/blog/social-media-safe-zones,Safe Zones on Social Media: Where the UI Covers You,design,safe-zones; image-sizes; explainer,safe-zone-guide; story-templates-sizer,800,planned
SZ-14,2,sizes,howto,TOFU,brand color palette from image,color palette generator from photo; extract colors from image,/blog/brand-color-palette-from-image,Build a Brand Color Palette From One Image,design,brand-assets; how-to,color-palette-extractor,800,planned
YM-01,2,yt-money,pillar,MOFU,youtube monetization requirements,youtube partner program requirements; 1000 subscribers 4000 hours,/blog/youtube-monetization-requirements,"YouTube Monetization Requirements, Checked Against Your Channel",monetization,youtube; monetization; guide,youtube-partner-program-checker; youtube-money-calculator; follower-milestone-countdown,1200,planned
YM-02,2,yt-money,explainer,MOFU,how much do youtubers make,youtube money calculator; youtube earnings per 1000 views,/blog/how-much-do-youtubers-make,"How Much Do YouTubers Make? The Arithmetic, Not the Anecdote",monetization,youtube; monetization; explainer,youtube-money-calculator,950,planned
YM-03,2,yt-money,explainer,MOFU,rpm vs cpm,what is rpm youtube; youtube cpm explained,/blog/rpm-vs-cpm,RPM vs CPM: Which Number Is Your Income,monetization,youtube; monetization; explainer,youtube-money-calculator,800,planned
YM-04,2,yt-money,howto,MOFU,is a youtube channel monetized,check if channel is monetized; youtube monetization checker,/blog/is-a-youtube-channel-monetized,Is a YouTube Channel Monetized? How to Tell,monetization,youtube; monetization; how-to,youtube-channel-monetization-checker,800,planned
YT-12,2,yt-seo,howto,TOFU,youtube rss feed,youtube channel rss; subscribe to youtube by rss,/blog/youtube-rss-feed,How to Get the RSS Feed for a YouTube Channel,seo,youtube; embeds; how-to,youtube-rss-feed-generator; youtube-channel-id-finder,800,planned
YT-13,2,yt-seo,howto,MOFU,youtube subscribe link,sub_confirmation=1; youtube subscribe button link,/blog/youtube-subscribe-link,"YouTube Subscribe Link: One Click, One URL",growth,youtube; bio; how-to,youtube-subscribe-link-generator,800,planned
